title,real_description,zero_shot,few_shot,cot
FIXIT FEET Anti-Vibration Shock Absorbing Pads | 4Pack Anti-Walk Heavy Duty Rubber Pads + 4 FREE Bonus Adhesive Anchors | Universal Size For Washing Machine and Dryers - Stop Washer Shaking & Movement,"['Product Details: Pack of 4 Heavy Duty ""Puck Shaped"" Rubber Pads with indention in middle for machine feet. Also comes with BONUS 4 Heavy Duty 3M Adhesive Anchor Discs. The area where the ""feet"" of your washer sit into the anti-virbration pads is approximately a 1 3/4 inch diameter circle which is recessed into the pad.', 'Is your washing machine notorious for shaking the whole house when doing a load of laundry? Does your washer “walk” across the floor and create extra noise?', 'FIXIT FEET Anti-Vibration Pads', 'are the solution you’ve been looking for!   As you may be aware, the vibration of your washer can cause it to move, causing wear on your machine, your floor, and creating extra [un-needed] noise.', 'FIXIT FEET Anti-Vibration Pads are designed to absorb vibration & noise, and eliminate movement and walking.', 'Made from a high quality blend of vibration dampening rubber polymers, FIXIT FEET are universal and will fit almost every make & model of washer/dryer. Follow the simple instructions and enjoy a newfound peace & quiet when doing your laundry.   For those extra pesky “walking” or “skidding” washers, we’ve also included a', 'FREE 4-pack of FIXIT FEET Heavy Duty Adhesive Anchors.', 'These anchors have superior gripping power and stick to the bottom of the FIXIT FEET pads and the floor to eliminate washer walking.   FIXIT FEET Pads will also absorb any DRYER noise or vibration, so when you check out,', 'be sure to add an additional set of FIXIT FEET to your cart for your dryer.', 'This will also keep your appliances at the same height.   We fully stand behind the effectiveness of FIXIT FEET to reduce washer/dryer vibration, which is why we offer a 100% satisfaction guarantee. *NOTE: PLEASE FOLLOW INSTALLATION INSTRUCTIONS, INCLUDING WASHER LEVELING! Results and performance will vary and depend on your situation (flooring, size & balance of the load, machine level, etc.)']","The FIXIT FEET Anti-Vibration Shock Absorbing Pads are designed to reduce noise and vibration from washing machines and dryers, providing a stable and quiet operation. These heavy-duty rubber pads come in a set of 4 and include 4 free bonus adhesive anchors to secure them to the floor, preventing washer walking and skidding. By absorbing vibration and providing a high coefficient of friction, FIXIT FEET pads help to keep your appliances stable and reduce movement, making them a must-have for any homeowner.","The FIXIT FEET Anti-Vibration Shock Absorbing Pads are designed to reduce noise and vibration from washing machines and dryers, providing a stable and quiet operation. Made with heavy-duty rubber polymers, these pads offer superior anti-vibration performance and come with bonus adhesive anchors for extra stabilization. By absorbing vibration and preventing washer walking and skidding, FIXIT FEET Pads help to protect your floors and appliances from damage.","The FIXIT FEET Anti-Vibration Shock Absorbing Pads are heavy-duty rubber pads designed to reduce vibration and noise from washing machines and dryers. These pads provide a high coefficient of friction to prevent washer walking and skidding, and come with bonus adhesive anchors for extra stabilization. Ideal for homeowners, these pads are a simple and effective solution to stop unwanted movement and shaking from laundry appliances."
Beverage Air 315-020A Embraco Start Capacitor,"['Product Description', '315-020A, Embraco Start Capacitor, Beverage Air offers industry leading quality in commercial refrigeration equipment designed for the food service industry', 'From the Manufacturer', '315-020A, Embraco Start Capacitor, Beverage Air offers industry leading quality in commercial refrigeration equipment designed for the food service industry']","The Beverage Air 315-020A Embraco Start Capacitor is a genuine OEM replacement part designed for use in commercial refrigeration equipment. This high-quality capacitor is engineered to provide reliable and efficient performance, ensuring the safe and optimal operation of your refrigeration system. By using genuine OEM parts like this start capacitor, you can trust that your equipment will function at its best, providing consistent results and minimizing downtime.","This Beverage Air 315-020A Embraco start capacitor is a genuine OEM replacement part designed for commercial refrigeration equipment in the food service industry. It offers industry-leading quality, ensuring safety, reliability, and optimal performance in your refrigeration systems. By using this authentic OEM part, you can trust that your equipment will operate efficiently and effectively.","This Beverage Air 315-020A Embraco Start Capacitor is a genuine OEM replacement part designed for commercial refrigeration equipment in the food service industry. It offers industry-leading quality, safety, reliability, and performance, making it a crucial component for maintaining optimal functionality. The capacitor is intended for use by professionals and businesses in the food service industry, such as restaurants, cafes, and commercial kitchens, to ensure their refrigeration equipment operates efficiently and effectively."
"Summit Appliance WTM7212KW 24"" Wide Gas Wall Oven with Electronic Ignition, Digital Clock/Timer, Interior Light, Lower Broiler Compartment","['The WTM7212KW is a white gas wall oven with electronic ignition and an oven broiler. The unit is set for natural gas, but can be converted to LP without a kit. The oven door includes a window, with an interior light for a full view. A digital clock with timer adds convenience. The interior is constructed from porcelain for lasting quality, with an 18000 BTU oven.']","The Summit Appliance WTM7212KW is a 24"" wide gas wall oven that combines classic cooking with modern convenience, featuring electronic ignition and a digital clock/timer for precise control. With its compact cutout dimensions of 34 1/8"" H x 22 3/8"" W x 23"" D, this oven fits seamlessly into many pre-existing kitchen spaces. An interior light and lower broiler compartment add to its functionality, making it an ideal addition to any home kitchen.","This Summit Appliance gas wall oven features electronic ignition for convenient and reliable cooking. With its compact 24"" wide design and adaptable cutout dimensions, it fits seamlessly into many pre-existing kitchen spaces. The oven also includes a digital clock/timer and interior light for added functionality, as well as a lower broiler compartment for enhanced cooking versatility.","The Summit Appliance WTM7212KW is a 24"" wide gas wall oven designed to fit seamlessly into many pre-existing kitchen spaces, offering convenient features like electronic ignition and a digital clock/timer. Its compact size and optional trim kit allow for flexible installation options, making it suitable for a variety of kitchen layouts. This gas wall oven is ideal for homeowners seeking a reliable and efficient cooking solution with modern amenities."
"FIREBIRD 36 Inches Wall-mounted Stainless Steel Range Hood with Touch Screen Control Panel, Charcoal Filters/Carbon Filters Included! High-end LED Lights","['Note: This item is not available for SHIPPING TO AK, HI, and PR. OR APO.FPO.DPO.', 'This impeccable Firebird RH0283 36"" wall mount range hood, features a contemporary European design and its smooth brushed stainless steel. A three-speed, 400 CFM touch control panel lays across the front for easy use. Two LED lights on the front corners illuminate your cooking top for cooking throughout any time of the day. A three piece, easy-to-remove, dishwasher safe mesh filters keep maintenance to a minimum. The non-return air flap keeps heat from escaping when the hood is not in use. The range hood is made of stainless steel with a brushed stainless-steel finish. It also comes with a timer and a 12-hour clock for that punctual and accurate master chef. Our range hoods come with a one-year limited parts warranty for any defect which you might come across. For ductless recirculating installation, a carbon filter kit is available (Include: CF0011). Range Hood Size: 36 inch Dimension: 35.25"" W x 19.75"" L x 42.25"" H Minimum Drop Down Height: 30.75"" Required Ceiling Height: 8 to 9 ft Duct Size: 6"" Flapper: Yes Airflow: 400 CFM Level of Speed: 3 Control Type: Touch Panel Noise Level: Less than 65dB at 400 CFM Lighting: LED Number of Bulbs: 2 Bulb Wattage: 1.5W Motor Wattage: 193W Material: Stainless Steel Product Finish: Brushed Stainless Steel Voltage: 120V / 60Hz Filter Type: Aluminum Mesh Filter Number of Filters: 3 Ductless / Ventless: Optional (Include: CF0011) Remote Control: No Vent Location: Top Additional Chimney: Yes (Sold Separately) Certification: ETL Compliance with US and Canada Safety Standards Warranty: 1-Year Limited Parts Warranty', 'Note: This item is not available for SHIPPING TO AK, HI, and PR. OR APO.FPO.DPO.']","Elevate your kitchen with the FIREBIRD 36 Inches Wall-mounted Stainless Steel Range Hood, featuring a sleek touch screen control panel and high-end LED lights for a modern look. This range hood comes equipped with charcoal filters and carbon filters for effective odor removal, and operates at a quiet noise level of less than 65dB at 400 CFM. With its sturdy stainless steel construction and advanced features, this range hood is the perfect addition to any high-end kitchen.","This FIREBIRD 36-inch wall-mounted range hood brings a touch of modern sophistication to your kitchen with its sleek stainless steel design and high-end LED lights. The range hood features a user-friendly touch screen control panel and comes with charcoal filters for efficient odor removal. With a powerful 400 CFM and quiet operation of less than 65dB, it provides effective ventilation while minimizing noise disturbance.","The FIREBIRD 36 Inches Wall-mounted Stainless Steel Range Hood is a high-end kitchen appliance designed to provide efficient ventilation and lighting. With its touch screen control panel, charcoal filters, and high-end LED lights, it offers a convenient and effective way to remove cooking odors and fumes, while also illuminating the cooking area. This range hood is ideal for homeowners who value a modern and sleek kitchen design, and are looking for a reliable and quiet ventilation solution."
GE WR60X10008 Evaporator Fan Motor,"['Product Description', 'This is a Genuine Replacement Part, The Model Number and Name for The Following Item: General Electric (GENF0) WR60X10008 Evaporator Fan Motor.', 'From the Manufacturer', 'This is a Genuine Replacement Part,The Model Number and Name for The Following Item: General Electric (GENF0) WR60X10008 Evaporator Fan Motor']","The GE WR60X10008 Evaporator Fan Motor is a genuine replacement part designed for General Electric refrigerators, ensuring a perfect fit and reliable performance. This motor is responsible for powering the evaporator fan, which helps to circulate cold air and maintain optimal refrigerator temperature. By replacing a faulty motor with this authentic GE part, you can restore your refrigerator's efficiency and keep your food fresh.","This GE WR60X10008 Evaporator Fan Motor is a genuine replacement part designed to provide reliable performance in your refrigerator. As a General Electric (GENF0) product, it ensures compatibility and quality. By replacing the old motor with this new one, you can restore your refrigerator's optimal cooling function and efficiency.","The GE WR60X10008 Evaporator Fan Motor is a genuine replacement part designed for General Electric refrigerators, providing a reliable and efficient solution for maintaining optimal cooling performance. This motor is intended to replace a faulty or worn-out evaporator fan motor, ensuring consistent airflow and temperature control within the refrigerator. It is an essential component for homeowners and appliance technicians looking to repair or maintain their GE refrigerator."
GE WS26X10013 Transformer with Power Cord,['This is an authorized aftermarket product. Fits with various GE brand models. Oem part # WS26X10013.'],"The GE WS26X10013 Transformer with Power Cord is a genuine O.E.M. authorized part designed to fit various GE brand models, ensuring a reliable and efficient replacement. This transformer comes with a power cord, providing a complete solution for your appliance needs. With its OEM certification, you can trust that this part will meet the high standards of quality and performance expected from GE brand products.","This GE transformer with power cord is a genuine O.E.M. authorized part, ensuring a reliable and precise fit with various GE brand models. Designed as a replacement part, it helps restore functionality to your appliance with the correct OEM part number WS26X10013. It's a direct replacement for the original, making it easy to get your appliance up and running again.","This GE WS26X10013 Transformer with Power Cord is an original equipment manufacturer (OEM) authorized part designed to fit various GE brand models. It provides a reliable and genuine replacement solution for users needing to repair or maintain their appliances. This product is ideal for homeowners, appliance technicians, and repair professionals seeking an authentic GE part to ensure optimal performance and safety."
775525 - New Refrigerator Door Bin Cantilever for Whirlpool Kenmore Sears Maytag Roper KitchenAid Amana Admiral Magic Chef,"['Replacement Refrigerator Shelf bin for Refrigerator. Works with the following models: 3KED0FHQKQ00, 3KES0GTKNL00, 3KES0GTQNL00, 3MAS1432GW0, 3XED0FHQKB00, 3XED0FHQKB01, 3XED0FHQKQ00, 3XED0FHQKQ01, 3XES0GTKNL00. May Also Be Called A Cantilever or bucket. Used On Many Models. Amana, Crosley, Estate, Inglis, Kenmore, Maytag, Roper And Whirlpool.']","This refrigerator door bin cantilever is a cost-effective replacement part designed for various Whirlpool, Kenmore, Sears, Maytag, Roper, KitchenAid, Amana, Admiral, and Magic Chef models. The deep bin provides ample storage space, and its white color ensures a seamless match with your existing appliance. As a reliable and affordable alternative to OEM parts, this cantilever offers great value without compromising on quality.","This refrigerator door bin cantilever is a cost-effective replacement part compatible with multiple brands, including Whirlpool, Kenmore, and KitchenAid. Featuring a deep bin and sleek white color, it provides ample storage space while maintaining a clean appearance. As an affordable alternative to OEM, it offers reliable performance without breaking the bank.","This refrigerator door bin cantilever is a cost-effective replacement part designed for various Whirlpool, Kenmore, and other brand models, offering a deep storage space to keep items organized. Made in white, it provides an affordable alternative to original equipment manufacturer (OEM) parts without compromising on quality and reliability. It is ideal for homeowners looking to replace or upgrade their refrigerator's door bin at a budget-friendly price."
"Frigidaire 27"" Double Electric Self Cleaning Black Wall Oven FFET2725PB","['Even Baking Technology: Our Even Baking Technology ensures even baking every time. Self-Cleaning: Your oven cleans itself - so you dont have to. Self clean options available in 2, 3, and 4-hour cycles. Ready-Select Controls: Easily select options or control cooking temperature with our easy-to-use controls. Bright Lighting: Our bright lighting makes it easy to see whats inside. Built with American Pride: Designed, engineered and assembled in the U.S.A. Oven Rack Handles: Oven racks are designed with space for you to easily pull out the racks, even when wearing an oven mitt.']","The Frigidaire 27"" Double Electric Self Cleaning Black Wall Oven is a convenient and efficient cooking solution, featuring a self-cleaning function that eliminates the need for manual cleaning. With its Even Baking Technology, this oven ensures that your dishes are cooked consistently and thoroughly every time. This 27"" double oven is designed to fit seamlessly into your kitchen, with a sleek black finish and compact dimensions (27"" W x 24 3/4"" D x 50 7/16"" H).","This Frigidaire 27"" double electric wall oven features a self-cleaning function that takes the hassle out of maintenance, allowing the oven to clean itself with ease. With Even Baking Technology, it ensures that your dishes are cooked consistently and thoroughly every time. Designed to fit seamlessly into your kitchen, this oven boasts a sleek black finish and compact dimensions, making it a stylish and practical addition to any home.","The Frigidaire 27"" Double Electric Self Cleaning Black Wall Oven is a high-performance appliance designed for home cooks who value convenience and precision. With its self-cleaning feature and Even Baking Technology, this oven ensures effortless maintenance and consistently even baking results. Ideal for busy households, this wall oven is perfect for those who want to cook with ease and confidence."
"Bosch 00424717 Upper Dishrack Roller Assembly, Gray","['This high quality Genuine OEM Bosch Upper Dishrack Roller Assembly (00424717) attaches to the dishrack and allows you to roll the dishrack in and out. The Gray Upper Dishrack Roller Assembly includes 2 rollers and 2 axles. High quality Bosch OEM 00424717 Dishwasher Upper Dishrack Roller Assembly replaces 00066321. Please be aware that it is recommended to use protective saftey equipment and disconnect the appliance from all utilities prior to installation of the Upper Dishrack Roller Assembly.Some Compatible Dishwasher Models: SMI7052, SMI7056, SMU4092UC/14, SMI7052UC/09 (FD 7402-7902), SMI7052UC/14 (FD 7902), SMI7052US/08 (FD 7208), SMI7052US/09 (FD 7210), SMI7056UC/09 (FD7402-7902), SMI7056UC/14 (FD 7902), SMI7056US/08 (FD 7208), SMI7056US/09 (FD 7210), SMU2042, SMU2042UC/09 (FD 7307-7504), SMU2042UC/13 (FD7312-7504,7505-7902, SMU2042UC/14 (FD7402-7504), SMU2042UC/14 (FD7505-7902), SMU2046, SMU2046UC-09 (FD 7307-7902), SMU2046UC-13 (FD7312-7902), SMU2046UC-14 (FD 7402-7902), SMU2046UC/09 (FD 7307-7902), SMU2046UC/13 (FD7312-7902), SMU2046UC/14 (FD 7402-7902), SMU3032, SMU3032UC/14 (FD 7507-7902), SMU3036, SMU4052, SMU4052UC/14 (FD7402-7902), SMU4052US/01 (FD 7106-7308), SMU4052US/09 (FD 7210), SMU4056, SMU4056UC/14 (FD7402-7902), SMU4056US/01 (FD7106-7308), SMU4056US/09 (FD7211), SMU4092, SMU4092UC-14, SMU4096, SMU4096UC/14 (FD 7902), SMU7052, SMU7052UC/09 (FD 7507-7902), SMU7052UC/09 (FD7307, 7504-7506), SMU7052UC/14 (FD 7507-7902), SMU7052US/02 (FD 7106-7308), SMU7052US/09 (FD 7210), SMU7056, SMU7056UC/09 (FD7307, 7504-7506), SMU7056UC/09 (FD7507-7902), SMU7056UC/14 (FD7507-7902), SMU7056US/02 (FD 7106-7308)']","The Bosch 00424717 Upper Dishrack Roller Assembly is a genuine OEM replacement part designed to fit Bosch dishwashers, providing a precise and reliable solution for faulty or damaged upper dishrack rollers. This gray assembly is engineered to exact specifications, ensuring a seamless installation and optimal performance. With its compact design (L: 1"" x W: 1"" x H: 1""), it's easy to replace and get your dishwasher running smoothly again.","This Bosch 00424717 Upper Dishrack Roller Assembly is a genuine OEM part designed to exact specifications for a precise fit in your Bosch dishwasher. The gray roller assembly is a direct replacement for the upper dishrack, ensuring smooth and quiet operation. With its compact design (approximately 1"" x 1"" x 1""), it's easy to install and get your dishwasher running efficiently again.","The Bosch 00424717 Upper Dishrack Roller Assembly is a genuine OEM part designed for Bosch dishwashers, providing a precise fit and smooth operation for the upper dishrack. This gray roller assembly is a replacement part that helps to ensure efficient and quiet dishwasher performance. It is ideal for homeowners who need to replace a worn-out or damaged upper dishrack roller assembly in their Bosch dishwasher."
LG MHU61981201 Refrigerator Spanner Genuine Original Equipment Manufacturer (OEM) Part,['Genuine Original Equipment Manufacturer (OEM) parts! Lg MHU61981201 Refrigerator Spanner'],"The LG MHU61981201 Refrigerator Spanner is a genuine Original Equipment Manufacturer (OEM) part designed for compatibility with various LG refrigerator models. This spanner is perfect for replacements or repairs, ensuring a precise fit and reliable performance. By using this OEM part, you can trust that your refrigerator will be restored to its original working condition, providing you with efficient and effective cooling.","This LG refrigerator spanner is a genuine Original Equipment Manufacturer (OEM) part, designed to provide a perfect fit and function for compatible LG models. It's an ideal replacement or repair solution for various LG refrigerator models, including the LFX25974SB and LFX28968ST series. With its authentic OEM quality, this spanner ensures reliable performance and longevity for your LG appliance.","This LG MHU61981201 Refrigerator Spanner is a genuine Original Equipment Manufacturer (OEM) part designed for replacements or repairs of compatible LG refrigerator models. It offers a perfect fit and functionality, ensuring seamless operation of the appliance. Ideal for homeowners and appliance technicians, this spanner provides a reliable solution for maintaining or fixing LG refrigerators."
